Product,Price,Link
Shop on eBay,$20.00,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Lenovo 11e 4th Gen - Intel CPU - 8GB RAM - 256GB M.2 SSD -Webcam- Windows 10 Pro,$95.00,https://www.ebay.com/itm/114424963833?hash=item1aa44262f9:g:PRUAAOSwRZtfZRsr&amdata=enc%3AAQAHAAAA0D6Pw5hfVOCKKe%2FSVw6TmFye7cm2XDmBsmkZHR1cqksApUJkqZ9lWubZhgr%2BSsBDWDSIHv0QEyOTUVyADoh%2Bkvd%2BmCnqKMYMgGc6EmLfEd5SQVearzfIgrptSacmD%2F7WasoE06BtsssjZyvNt4%2FvHzLS3F%2FGC%2BYmh7mwi35DphZjtZ9nFroxq1Sn3Cg%2F1Qgfy0rYcg0ApVxqktYdqPBIbkT%2BD86EnIpMV%2FD%2BNvI0rU4g58tfm%2F71s4klxb4y81DH3b%2FKI6usNAML0fh3UJGowMo%3D%7Ctkp%3ABFBMmN-BusRh
"HP Chromebook 11 G4 11.6"" Intel 2.16 GHz 4GB RAM 16GB eMMC Bluetooth HDMI Webcam",$79.99,https://www.ebay.com/itm/115603286837?hash=item1aea7e2b35:g:nV0AAOSw~wdjfE2o&amdata=enc%3AAQAHAAAA4FUIsZjnio5UoZyhfEwEBDB%2F8P63UOlDRtgpa75ncm3mW5ThSmwk8DTnpSauwGFuW7PYdofuBaUo0p05pehu6uD2TdoRRkRQc7wN96aBvvn3AWh8NrD%2F1jqudKYJ6izx%2FqefFL2oelrO2FP%2FnORaaq5pi%2BePmENXKILsllwsfXgL%2BeNOrLJcPKYUaNYYzz%2B9zZOl4u6RLP7KlkECgNQCOv4IVu3Yz6SrmVF6JpdItsDbKXA1X%2FdHtGsJOVikaCQfTizCxLKNHXzvSIgelI8uPH2IliIbi61csny3fgOxN25u%7Ctkp%3ABFBMmN-BusRh
"Dell Chromebook 11 3180 - 11.6"" - Celeron N3060 4GB RAM 16GB eMMC ",$49.99,https://www.ebay.com/itm/354541606716?epid=5031038181&hash=item528c53973c:g:VG0AAOSwsjNj3YYZ&amdata=enc%3AAQAHAAAA0Db4bfZznm6kDSSle2Z0WR69EE9HwepujRk9QTu3dphIeJehcO76zgX82Q1HacEOd9IulrMffAQ99naR3Ere4xPuM1daPD3D2XSEC83EnpBXQS3XvlwEWqaLzBtQRsUCqUQn4IrJYkbf4PyGf3RzfiuS42XUHwd3XR2q%2BnC45mkWuDUtA5uoX6kwGgpvVLImde3YOIyNX8qE7NdQaTDnZhpB0apuc%2FEXI1q6Oo%2BTnOzvkZ6BFdSbzq%2FNZE3JkPAPFT9Vg5dH8%2B7OvtugvSDV4OU%3D%7Ctkp%3ABFBMmN-BusRh
CHUWI HeroBook Pro 14.1 in Laptop Windows 11 Intel N4020 8G+256G SSD Notebook PC,$219.99,https://www.ebay.com/itm/334142194228?hash=item4dcc6d4234:g:mhUAAOSwQvdhk17r&amdata=enc%3AAQAHAAAA4FHCHkl0QhuHncQlT4D0bokPR0xkzdlGGM0Zp%2BkgdAuPe0w9XEAvdPBYc7VnbkH%2FE0A7vBmwX0QrLyGT0JWhlQpIz905KuWhJlQurcU7TfnyHPUht8J8OyNDsBR2LdWaXjjjsv%2FWP1fuIX8pFw3RrzJxHDmzLAMkVyGrsmLMkcf7VKudcUu2Lky35D38TBu%2FlvPQolyKRq7M%2F077VZU5KEZZbVEI8w%2B3jwuLgA9kRyBr256dUrcqbL3sUpCstVWLU0d8JiDanc3xP%2FnVw0N1PQvN1S2mcOyHoXDfZnA4DqJu%7Ctkp%3ABFBMmN-BusRh
MICROSOFT SURFACE PRO 5&4 Core i7 8GB 1TB/512GB Original Accessories Docking Pen,$230.00 to $310.00,https://www.ebay.com/itm/134412315614?hash=item1f4b992bde:g:ItMAAOSwIhJjwjWV&amdata=enc%3AAQAHAAAA4AoDpXVHfIC%2FwI886p5R3SqGG9gsNiwcLJU8793sPJMa7bEwomaTJa%2Fu5RlRdZRPu4hik4V819zv%2BsXHBJkOf5iDzvqQ0pCjCAeKHqdU68UGYhEV%2B9jo%2B5dLk3Ry5QuTJPYYdTRiFAFH%2FAA%2FuZOaLOGT4AqKahFJkZg6wUr5ofPhyIPKfXb7VTIUrdOUSDuYfWmgXEDFd8ZTxWFCC9lKjCLud%2By%2B7yNlqJo6lMJEEAeOR60VJH6Bg8Ji%2B%2F9qpXfe1T%2BEzX7R%2F0AUB36kqeJ11FSe6UmH%2BYGNjcG3hUQ%2FoBrg%7Ctkp%3ABk9SR5jfgbrEYQ
"HP ProBook 640 G2 14"" Laptop Intel i5 6200U 4GB RAM 128GB SSD Win10 Pro -Good",$99.99,https://www.ebay.com/itm/275510385662?hash=item4025b2dbfe:g:tZwAAOSwksdjU9yF&amdata=enc%3AAQAHAAAAkDZPBFANgOjx0vtYBOvRuu0XQbD2iKIqoruIIjpV%2FUdDOPB1Wk%2F6VTXfT%2F6E64SK%2BcSQVSnx38FqWyPZp1gZ%2B13hv1kMIfk9xTOWHp78EXeW1%2B3oHK2dBAxx3UtNx27ot1jf6zz9yYCpcdWt4rl7R3ZS%2Bl3C0E3%2Flti3%2BGDfyxNgXDCyh7zkG8g0G7cSiu6jLQ%3D%3D%7Ctkp%3ABk9SR5jfgbrEYQ
"New ListingLaptop hp Notebook AMD A8, AMD Radeon Graphics ",$54.29,https://www.ebay.com/itm/204234667777?hash=item2f8d55b701:g:EBUAAOSwmlVjU812&amdata=enc%3AAQAHAAAAoLqS9eG%2FdDj0MhefyngQDXNwRBAtieJwoWNuqj0VDVQXums%2FGBR4i%2BzPFmJlm6H%2FY%2FXXEh60nWqz7HpFSf8V7vJWQCVV8JvT8zuAeDMA9CFPSFTADGcM3oTV1%2B%2BfbYkpcOSRDlsBGbHnH1mfZAnCgo8WZJHaM6DeIRw7T%2BZWh4mUnIsV99rNrrIvqZO12vnFbuKunUB36umMuCJq5QlY%2FII%3D%7Ctkp%3ABk9SR5jfgbrEYQ
Microsoft Surface Laptop 2 (1769) i7-8650U @ 1.9GHz 16GB RAM 512GB NVMe SSD,$299.99,https://www.ebay.com/itm/175560066941?hash=item28e032077d:g:kJ4AAOSwPdpjtNMw&amdata=enc%3AAQAHAAAAoLh5RAKX5IQfcxZZ8Qo9ymd7kzLrARBium5H3SxHxTcWBFFQ6%2FQ1kX87w1YiuWYTXrS1112iM9SH%2BcuIIdHjYr4Q9lqLpZbdTm5eltWE8qEAa6jEhV1zdt%2F2mUFxzn6OD5FKj6EMILpiCB16trgZqBfiVtIhuG9lrP6lvzCRAh375OyF7EcT%2B3cOjd%2BjA15vYEKZzJoCw%2B0eWqmLfJgOkhA%3D%7Ctkp%3ABk9SR5jfgbrEYQ
HP Spectre x360 13-AE013DX Touchscreen 2-in-1 512GB SSD 16GB RAM Laptop 4K(UHD),$435.00,https://www.ebay.com/itm/185756971286?hash=item2b3ffa7116:g:lg8AAOSwledjt2gu&amdata=enc%3AAQAHAAAAkEcvZ5%2BEYxOP0P32DR56I1l9o7dVEux6GuhfW4lSfVB4%2FoeXV2LcKP9VEHoZ530F2BujMJNYenoujiLFD%2BC3cnMtxYXFE1M6eiEMJUqIG3R1VvMa9kLQ8IyaKzQqUa4rUPv5mv3aQ1OU%2Bpp8HXBm0Lt0QjnpVv8L8dWypbOtzFYMnW%2FWzB3wwokc2yEIVEDzbA%3D%3D%7Ctkp%3ABk9SR5jfgbrEYQ
"HP PROBOOK 455 G4 15"" AMD A10-9600P @ 2.4GHZ 8GB RAM 500GB SSD WINDOWS 10",$65.00,https://www.ebay.com/itm/374395357255?hash=item572bb3c847:g:cN8AAOSwQcFjkjqK&amdata=enc%3AAQAHAAAAkDf20NOMol%2BWqwhAZeYNFj47Nc%2B6Y6nMJAWPDf1jE1bTC4SOicJi%2FqnXXSg6UYcZCEwUQcXbpWhMatODQ2%2FPOJWwmbWEQdk5DGGKrLDB7foQDVAkDLNjkK439%2BRNTM3N5BYcmb0p%2F3xpMsc3cC%2BypHqXdZ4Gw30Z%2B8k8PIi3KvUp3PuLMe%2FmD7h8Mw%2B83CBsmg%3D%3D%7Ctkp%3ABk9SR5jfgbrEYQ
"Lenovo Yoga 11"" Windows 10 Touchscreen Laptop Tablet 2 in 1 4GB / 8GB 128GB SSD",$89.00 to $109.95,https://www.ebay.com/itm/165647944655?hash=item2691630bcf:g:qzMAAOSwVwtjCwXK&amdata=enc%3AAQAHAAAA4IhA3iwsVAk7v%2FF5hnjMYe%2BzSBcjC6vBz%2BK%2BITyxmessYpmvNDBfDe%2FUtMpgtf8FC5VFc5QbNjkS3wiXBCVLnzrHnv%2FtVApCNA2kKD2N2A3q6%2Blc%2BZGUbgoR7Ytz9Wc94f4WKexRbIKHwCK4Jk7Ijj0XI55gavWKJuMEp9ZnQMlp5EKCNUGo%2BIkd2ZTnBSs1J1PtVwakHi%2B%2BY%2BUBCkMA3eutAgmZEg8o1cfwvixE8DVbbk%2F1iVEsufhi3p77cYiwu9jsrSj13t1W3e%2BrpJQTzg2b7KHJLgC4pxXfaCR3vKcn%7Ctkp%3ABk9SR5jfgbrEYQ
"ASUS 15.6"" Full HD Intel N4020 128GB SSD 4GB RAM Win10 Black + 16GB MICROSD CARD",$189.99,https://www.ebay.com/itm/195021744013?epid=9047968377&hash=item2d6833a78d:g:hKAAAOSwr7JicANs&amdata=enc%3AAQAHAAAA4AzjF9EDRQEnxKILGMRgse6ViiCe8tu1ei%2FshJ6gRSmp4hhQ3eJ8QO7qY2%2FN2adpcRLfsJR%2FGEnPnbWB4uMsZB7sb7vedT3k3WbiDgiKK4kPYJPct4pYR9lRApejDUn3Pzq%2FGniJ20lWr41Q%2B%2BEnex9oUFe9uo8r02R03YexNDITdxVldL2uZ1E6u7C2msJvQyZ40XrWmvRUdx1ZZsMhdI%2BdMk%2FxNk1Zm%2BOeGsV3KObsIV%2FwkYD%2BvsNmQMlLoythfFLk8ksb9jDT7DdldmjpBlY5zibiC2Yth9aduftG9lQh%7Ctkp%3ABk9SR5jfgbrEYQ
LENOVO THINKPAD X280 12.5 inch i7-8650U 8/16GB SSD Laptop Win 11 Pro,$243.44 to $271.35,https://www.ebay.com/itm/255699929158?hash=item3b88e74846:g:IT0AAOSwXlpjKbS7&amdata=enc%3AAQAHAAAAoKJ3ApDtigSQ5QDbANECn2Pup6DyxehGmhQgcgOa6Q%2BeY4YSQ8OjnCBG%2FbNxOPg5s%2ByP6B%2BDpM3ePi3y2EZ0GQRPnn1Sv1cj0DU7hJUzxbdS5suk0QwnGR5Xn5HFn90mthpAOw%2Bny8gAhLZNrQ8YwdSQQuLxT5iOzLh03ZF0urChExuKm2GALuMnd7oxCrHgGRRWrUsxr%2FprzL0zfLLwOyE%3D%7Ctkp%3ABk9SR5jfgbrEYQ
"Dell ChromeBook 11 Intel 2.10GHz 4GB RAM 16GB eMMC 11.6"" Touch Screen Bluetooth",$79.99,https://www.ebay.com/itm/115615861311?hash=item1aeb3e0a3f:g:8nMAAOSw9b9jf8Bu&amdata=enc%3AAQAHAAAA4OaN5TMc6utGknjY6ihRVvzWihsh2ylD%2BK6bT5TNSkrEuUgx%2Ftz5Qx28jFXLNAQJJA77qZU5HFTrZWgeQbo5ULrZsKQXINwAp25t7BWc2C3xL%2BfC70AnguJuMtMxn7xvL2ZBx6SzeSxNEEWM%2BlqJfoYkTYpDNnAOkXGZxVrLnZis6rGGTpLZ8RkkCoy52uKYRZimEPgYvD0hCcBGcFkI8VBvOEpuvNegRgN76mpE2Cs3HRaAP9rOafZ6V94gB7763HN6sirp%2BnvBaNpXUQsar0x3vZ5yn4EqtQKpEET1maIP%7Ctkp%3ABFBMmt-BusRh
"Apple Macbook Pro 13"" Laptop | i5 8GB RAM | 500GB HD | MacOS Catalina | WARRANTY",$189.00,https://www.ebay.com/itm/334497619314?epid=5029838364&hash=item4de19c9d72:g:yIAAAOSwmoJjOKyg&amdata=enc%3AAQAHAAAA0Bd8bngL0Vw6hkuu%2Bs30jhxdcispdgNPTVJyb2u8bzEtMw09O%2B%2Fu3ealOM7hyjIue3I4XHyEjej5dlQPHOciR%2FJ7szn06fv3L8UvH0lI9JxxmOFSKUp9f2m9Ov%2Bm2DGka5AxT%2FvCODTmC6BNcICA4kqNH7k9ME9NeD3v5Fqq8LUR5vDtY3qo5IzM9DbA4XvnGI4q0ejtCektghDWuo8AMO5yEkVRj4X%2BC6GZA6aQZ9q4KCQetqh2zq%2ByTvdHVpKkSokd%2BfnU2563eUBFr95TdOY%3D%7Ctkp%3ABFBMmt-BusRh
"Lenovo ThinkPad T470 14"" Intel i5 7th Gen 8 GB RAM 120 GB SSD WiFi Win 10 Laptop",$169.99,https://www.ebay.com/itm/275348539955?hash=item401c0d4a33:g:0uIAAOSwKq5h5f7w&amdata=enc%3AAQAHAAAA4E%2B2c983cIcvgzBg%2Fr%2BBII%2BQ3%2BTFrUdkWgsIXVhkxeHnfLIN0COLogQPX%2BD8xnjm%2FMLuxHkOcvsi3cFo6oXTI95xL%2FGZHJ%2BYeFgjMglLhCKV2WLOA7l15ZEmGbFdCtMmvsut3QqSYotq8kn9MTXKEFhSS5QrgNS7MUIBhW5MGjEymvYnMRZne9TATvfhZFlxJtxBdgT3PFhEuYBRLb7Vu0%2FkqT9iEFBTEOjtr6lRDFJzvhnfvl9zPpLxWyJmYNb6Zi8qYW4m1FzOcz4A55ndEugKXE18irAzr7cPJpuXXedl%7Ctkp%3ABFBMmt-BusRh
"ASUS ROG G750JX 17.3"" Gaming Notebook I7-4700HQ 2.4 Ghz 16 GB RAM 256 SSD 1TB",$126.50,https://www.ebay.com/itm/285131662076?hash=item42632be2fc:g:fgoAAOSwJK5jzbAO&amdata=enc%3AAQAHAAAAkM3Ri4HeCAc2bFOhIG6A5eYpG4Y%2BqaE2CujR5SBCrbZNnzB2muKCUr6iY4uGMeZ8VQjcq97c5EiisQd%2ByBz30etDodmgIOWwqwi2N4lf1uQMAkKwgzh43Y2h3imPut4Q9G8ecUlmzBpeYWBZs9FSD6KQVZuo8s0ceWSluHVsY8ruadokNc7PqbyoTW7xDzLdqw%3D%3D%7Ctkp%3ABk9SR5rfgbrEYQ
New ListingLenovo ThinkPad T14 Gen 1 14-inch Ryzen 7 Pro 16GB RAM 512GB NVME Win 11 Pro,$449.00,https://www.ebay.com/itm/115696805918?hash=item1af011281e:g:V3EAAOSwnHNjzb0A&amdata=enc%3AAQAHAAAAkEpjE8TiekHAMxQPlmnUdIuEzVU%2FAlldo3iwHkqaIoERSjymDQNpFNpGaNH1gPf7yVha5kXzzxmyE91%2BnwkHiKJ3riPVGp0vc7dynJcjMQpI9Dsl0NICNX3czaKncLPgVBKlKxKcz3d2nH8BGsJ0Ba2wnlfgDOR75plRJ9mtbrkH%2F%2FF23DTQmE4JWo22jnJd%2FQ%3D%3D%7Ctkp%3ABk9SR5rfgbrEYQ
"New Listing13"" MacBook-Air""",$1.09,https://www.ebay.com/itm/155394963762?hash=item242e42f932:g:TPEAAOSwRWVj3-TD&amdata=enc%3AAQAHAAAAkDvBvvNw1WrV2a7hGqCC2rOwXb%2BJ2DMQSySAEEWabqhs0zf6cJVj4O20bWvs%2Bo4clZbpi45%2BcuFGsEpUhnStxIYj%2BY20n9ykOe3IoDVo7klYeM7dazN3QZGhJc%2B3fXnpxoY0hbWUUlgTFBzeNfM2Z0TduexCjIIElkuiNPBJJ6TrKtp%2FMEwogsE1NboHPiSkXw%3D%3D%7Ctkp%3ABk9SR5rfgbrEYQ
"New ListingMSI GE75 Raider 17 Gaming Laptop I 17.3"" 1TB HDD, 512 SSD, 16GB Ram, RTX2080",$600.00,https://www.ebay.com/itm/234885796168?hash=item36b048d148:g:F1kAAOSwKoNj3uKC&amdata=enc%3AAQAHAAAAkDhRN9aa5FGiySjNKsAMH4k9Ppc421n8cqkWL5SpVZgwzCZQI47hWfERL3MrelXc9LhB%2BBQE%2FcQeXUrJ7ogoi%2B0EV94t8gKwiFLSpZqAB42D4BOoYiBMnfQGmcyU2uJIxqci2UoXdOhb5SRKC%2BrOGqZ%2Bt%2BOxsiaqJF%2BI8PizFNeTqo2wJv0VpmdghNGjqJ%2BisA%3D%3D%7Ctkp%3ABk9SR5rfgbrEYQ
